task_name,task_type,priority,duration_minutes,day_of_week,best_time_slot
Bug Fixing,testing,medium,142,Saturday,Morning
Daily Standup,coding,high,76,Sunday,Morning
Documentation,coding,low,119,Thursday,Afternoon
Daily Standup,coding,medium,177,Friday,Morning
Database Backup,coding,low,85,Friday,Evening
Daily Standup,writing,medium,130,Thursday,Evening
Code Review,testing,low,20,Monday,Evening
Product Demo,meeting,medium,148,Thursday,Evening
Product Demo,testing,low,28,Saturday,Morning
Code Review,testing,high,153,Tuesday,Morning
Team Meeting,writing,low,119,Wednesday,Afternoon
Daily Standup,meeting,high,109,Sunday,Evening
Daily Standup,writing,medium,42,Wednesday,Morning
Design Mockup,writing,low,148,Wednesday,Afternoon
UI Testing,coding,high,108,Wednesday,Afternoon
Code Review,testing,high,87,Saturday,Morning
Product Demo,review,low,81,Tuesday,Afternoon
Documentation,testing,high,31,Thursday,Morning
Bug Fixing,writing,medium,167,Sunday,Afternoon
Bug Fixing,meeting,medium,70,Thursday,Evening
Documentation,testing,low,22,Sunday,Afternoon
Client Call,review,high,173,Wednesday,Afternoon
Code Review,coding,low,174,Thursday,Morning
Bug Fixing,planning,low,121,Saturday,Afternoon
Sprint Planning,writing,medium,97,Tuesday,Morning
Documentation,coding,high,132,Sunday,Morning
Design Mockup,coding,low,96,Monday,Morning
Documentation,writing,low,57,Wednesday,Evening
Bug Fixing,review,high,118,Wednesday,Morning
Client Call,testing,low,168,Thursday,Afternoon
Sprint Planning,writing,high,172,Tuesday,Afternoon
Product Demo,meeting,high,63,Wednesday,Evening
Bug Fixing,review,high,105,Sunday,Morning
UI Testing,testing,low,89,Monday,Morning
Bug Fixing,writing,medium,146,Tuesday,Afternoon
Team Meeting,writing,high,21,Monday,Afternoon
Sprint Planning,coding,low,21,Wednesday,Evening
Documentation,meeting,high,153,Friday,Afternoon
Unit Testing,testing,medium,159,Saturday,Morning
Bug Fixing,writing,high,105,Thursday,Morning
Design Mockup,review,medium,110,Monday,Morning
Product Demo,meeting,medium,121,Friday,Afternoon
Documentation,review,medium,24,Sunday,Evening
Code Review,testing,low,110,Tuesday,Evening
Daily Standup,testing,medium,90,Tuesday,Morning
Unit Testing,planning,low,99,Sunday,Morning
Sprint Planning,writing,medium,46,Wednesday,Evening
Product Demo,coding,medium,176,Friday,Morning
Code Review,testing,high,114,Saturday,Evening
Code Review,testing,low,149,Wednesday,Evening
Team Meeting,testing,high,21,Thursday,Morning
Code Review,writing,high,76,Monday,Afternoon
Code Review,writing,low,66,Friday,Evening
Unit Testing,meeting,low,118,Saturday,Afternoon
Unit Testing,review,low,32,Saturday,Morning
Bug Fixing,testing,high,120,Monday,Evening
Sprint Planning,review,high,41,Thursday,Afternoon
Database Backup,testing,high,35,Saturday,Morning
Documentation,planning,medium,165,Tuesday,Afternoon
Sprint Planning,planning,medium,80,Tuesday,Morning
Team Meeting,coding,low,153,Wednesday,Evening
Daily Standup,planning,high,95,Saturday,Evening
Design Mockup,coding,high,84,Thursday,Afternoon
Documentation,planning,high,143,Friday,Afternoon
Database Backup,meeting,high,56,Friday,Afternoon
Team Meeting,review,high,84,Friday,Morning
Bug Fixing,meeting,low,141,Tuesday,Evening
Database Backup,testing,high,154,Wednesday,Morning
Product Demo,writing,high,65,Tuesday,Morning
Unit Testing,coding,medium,48,Tuesday,Morning
Bug Fixing,coding,medium,53,Thursday,Morning
Client Call,meeting,medium,26,Sunday,Afternoon
Documentation,coding,high,165,Monday,Afternoon
Code Review,review,low,121,Thursday,Evening
Sprint Planning,writing,high,149,Tuesday,Afternoon
Client Call,writing,low,106,Sunday,Afternoon
Product Demo,coding,low,166,Wednesday,Afternoon
Code Review,review,high,164,Thursday,Morning
Design Mockup,writing,high,162,Sunday,Afternoon
Unit Testing,coding,medium,158,Sunday,Evening
Bug Fixing,planning,medium,38,Monday,Evening
Bug Fixing,testing,high,30,Saturday,Morning
Unit Testing,meeting,low,37,Monday,Afternoon
Code Review,review,low,112,Friday,Evening
Documentation,writing,high,105,Sunday,Evening
Daily Standup,writing,medium,142,Friday,Morning
Design Mockup,writing,medium,96,Tuesday,Morning
Documentation,coding,high,152,Monday,Evening
Sprint Planning,meeting,medium,43,Friday,Evening
Product Demo,coding,medium,95,Sunday,Evening
Bug Fixing,writing,high,83,Tuesday,Afternoon
Bug Fixing,coding,low,134,Thursday,Evening
Documentation,meeting,medium,104,Wednesday,Morning
Product Demo,testing,medium,26,Saturday,Evening
Daily Standup,writing,low,128,Monday,Evening
Unit Testing,planning,low,89,Sunday,Afternoon
Team Meeting,meeting,medium,145,Tuesday,Afternoon
Design Mockup,review,high,95,Wednesday,Afternoon
Database Backup,testing,low,143,Monday,Evening
Documentation,planning,high,88,Sunday,Morning
Database Backup,writing,medium,56,Tuesday,Evening
Product Demo,review,low,43,Saturday,Afternoon
Database Backup,writing,medium,22,Friday,Afternoon
Code Review,writing,high,168,Monday,Evening
Unit Testing,testing,medium,99,Sunday,Evening
UI Testing,planning,low,106,Thursday,Evening
Sprint Planning,meeting,medium,53,Wednesday,Afternoon
Client Call,review,medium,149,Friday,Evening
Documentation,planning,high,145,Thursday,Afternoon
Database Backup,testing,low,165,Friday,Afternoon
Code Review,meeting,high,28,Saturday,Morning
Team Meeting,testing,high,166,Tuesday,Evening
Documentation,writing,low,57,Saturday,Evening
Product Demo,meeting,low,78,Thursday,Afternoon
Client Call,testing,medium,93,Thursday,Evening
Database Backup,planning,low,147,Monday,Evening
Daily Standup,testing,medium,147,Thursday,Evening
Team Meeting,review,medium,130,Wednesday,Evening
Sprint Planning,testing,high,126,Tuesday,Evening
UI Testing,writing,low,57,Sunday,Evening
Product Demo,planning,high,59,Thursday,Afternoon
Documentation,testing,high,63,Friday,Afternoon
Bug Fixing,writing,medium,63,Wednesday,Evening
Bug Fixing,coding,medium,58,Thursday,Afternoon
Database Backup,meeting,high,120,Wednesday,Afternoon
Design Mockup,planning,high,45,Sunday,Morning
Sprint Planning,review,high,142,Friday,Evening
Bug Fixing,planning,low,34,Friday,Evening
Product Demo,review,high,67,Sunday,Afternoon
Product Demo,coding,medium,175,Sunday,Evening
Client Call,planning,low,64,Wednesday,Afternoon
Product Demo,testing,high,159,Friday,Evening
Daily Standup,coding,medium,61,Thursday,Evening
Bug Fixing,writing,medium,121,Wednesday,Morning
Product Demo,testing,medium,41,Saturday,Morning
Documentation,coding,low,143,Wednesday,Morning
Documentation,planning,low,70,Thursday,Afternoon
Client Call,review,medium,28,Saturday,Morning
Design Mockup,planning,medium,68,Wednesday,Morning
Team Meeting,testing,low,149,Monday,Evening
Bug Fixing,testing,medium,96,Wednesday,Evening
Team Meeting,coding,medium,50,Wednesday,Morning
Design Mockup,meeting,low,74,Wednesday,Afternoon
UI Testing,writing,medium,60,Saturday,Morning
Documentation,writing,high,44,Friday,Afternoon
Team Meeting,writing,high,80,Wednesday,Afternoon
Sprint Planning,writing,medium,172,Sunday,Evening
Code Review,coding,medium,139,Wednesday,Evening
Design Mockup,testing,medium,161,Thursday,Afternoon
UI Testing,planning,high,20,Friday,Morning
Unit Testing,planning,medium,171,Wednesday,Morning
Database Backup,planning,high,86,Monday,Morning
Unit Testing,coding,low,85,Sunday,Morning
Unit Testing,review,low,38,Monday,Morning
Unit Testing,coding,low,39,Thursday,Afternoon
Product Demo,review,medium,132,Sunday,Evening
UI Testing,planning,low,103,Tuesday,Afternoon
Design Mockup,planning,high,37,Monday,Evening
Daily Standup,review,high,98,Saturday,Afternoon
Client Call,planning,high,96,Thursday,Afternoon
Product Demo,writing,medium,68,Monday,Afternoon
Unit Testing,coding,high,112,Monday,Afternoon
Client Call,review,medium,69,Friday,Morning
UI Testing,meeting,low,88,Monday,Afternoon
Client Call,writing,low,69,Friday,Morning
UI Testing,review,medium,85,Monday,Morning
Database Backup,testing,medium,163,Tuesday,Morning
Client Call,meeting,medium,20,Monday,Evening
Documentation,planning,low,170,Sunday,Morning
Sprint Planning,meeting,low,70,Saturday,Evening
Sprint Planning,review,low,147,Sunday,Morning
Client Call,writing,high,47,Tuesday,Evening
Product Demo,testing,high,88,Thursday,Evening
Unit Testing,review,low,32,Monday,Morning
Sprint Planning,testing,high,73,Sunday,Afternoon
Sprint Planning,writing,high,120,Monday,Afternoon
Bug Fixing,testing,high,103,Thursday,Afternoon
Documentation,planning,medium,58,Thursday,Evening
Bug Fixing,coding,low,24,Monday,Morning
Design Mockup,review,medium,177,Sunday,Morning
Daily Standup,writing,high,35,Wednesday,Morning
Team Meeting,testing,medium,29,Tuesday,Evening
Sprint Planning,planning,high,76,Wednesday,Afternoon
UI Testing,meeting,high,152,Thursday,Evening
Team Meeting,meeting,medium,43,Tuesday,Morning
Documentation,coding,medium,41,Thursday,Evening
Product Demo,meeting,low,86,Monday,Morning
Sprint Planning,coding,high,161,Friday,Afternoon
Client Call,coding,high,141,Wednesday,Morning
Unit Testing,meeting,low,168,Sunday,Evening
Design Mockup,planning,high,134,Tuesday,Evening
Client Call,coding,high,117,Sunday,Evening
Sprint Planning,writing,low,49,Tuesday,Afternoon
Daily Standup,review,high,22,Wednesday,Afternoon
Daily Standup,writing,low,148,Wednesday,Morning
Client Call,testing,low,36,Tuesday,Afternoon
UI Testing,review,low,127,Tuesday,Evening
Unit Testing,review,high,128,Tuesday,Evening
Product Demo,testing,high,35,Saturday,Morning
Team Meeting,testing,high,81,Saturday,Morning
Product Demo,testing,medium,141,Monday,Afternoon
Bug Fixing,planning,low,127,Friday,Afternoon
Design Mockup,coding,low,155,Tuesday,Afternoon
Documentation,testing,medium,170,Sunday,Afternoon
Code Review,meeting,low,169,Friday,Afternoon
Code Review,review,low,88,Tuesday,Morning
UI Testing,planning,medium,165,Thursday,Evening
Daily Standup,writing,medium,43,Thursday,Morning
Product Demo,review,low,31,Monday,Evening
Daily Standup,writing,low,142,Monday,Morning
Daily Standup,review,medium,141,Thursday,Afternoon
UI Testing,review,medium,75,Monday,Afternoon
Bug Fixing,testing,high,127,Thursday,Morning
Product Demo,coding,high,52,Tuesday,Morning
Sprint Planning,coding,low,145,Thursday,Evening
Documentation,writing,low,128,Friday,Afternoon
Team Meeting,coding,high,129,Wednesday,Morning
Bug Fixing,planning,high,61,Saturday,Morning
Product Demo,coding,medium,167,Wednesday,Afternoon
Code Review,planning,medium,24,Monday,Afternoon
Team Meeting,coding,high,99,Friday,Afternoon
Sprint Planning,testing,high,113,Thursday,Evening
Team Meeting,coding,medium,179,Wednesday,Morning
Sprint Planning,planning,medium,146,Thursday,Evening
Team Meeting,review,high,33,Friday,Afternoon
Team Meeting,testing,medium,153,Friday,Afternoon
Daily Standup,writing,low,50,Tuesday,Afternoon
UI Testing,planning,high,158,Sunday,Evening
Unit Testing,writing,medium,101,Sunday,Morning
Design Mockup,coding,low,118,Saturday,Afternoon
Bug Fixing,meeting,medium,135,Monday,Morning
Bug Fixing,testing,low,120,Wednesday,Evening
Unit Testing,writing,high,121,Tuesday,Morning
Product Demo,meeting,medium,99,Friday,Afternoon
Code Review,meeting,low,82,Tuesday,Afternoon
Unit Testing,review,medium,50,Sunday,Morning
Unit Testing,meeting,high,62,Wednesday,Evening
Database Backup,coding,low,100,Wednesday,Evening
Design Mockup,meeting,high,94,Tuesday,Afternoon
Client Call,review,low,49,Saturday,Afternoon
Client Call,planning,medium,104,Saturday,Evening
Unit Testing,meeting,medium,81,Sunday,Morning
Daily Standup,writing,low,77,Saturday,Morning
Design Mockup,coding,high,39,Thursday,Morning
Unit Testing,coding,high,111,Sunday,Afternoon
Database Backup,review,low,94,Saturday,Afternoon
Sprint Planning,testing,medium,119,Tuesday,Morning
Product Demo,review,high,94,Friday,Afternoon
Code Review,testing,medium,119,Saturday,Evening
Client Call,coding,medium,27,Sunday,Evening
Bug Fixing,testing,low,59,Friday,Afternoon
Daily Standup,review,low,42,Wednesday,Evening
Team Meeting,planning,medium,166,Tuesday,Evening
Daily Standup,meeting,medium,60,Sunday,Morning
Database Backup,testing,high,132,Wednesday,Afternoon
Documentation,meeting,low,63,Tuesday,Morning
Unit Testing,writing,medium,109,Thursday,Morning
UI Testing,writing,low,96,Wednesday,Afternoon
Daily Standup,writing,low,113,Friday,Evening
Design Mockup,planning,low,59,Sunday,Morning
Sprint Planning,writing,medium,95,Monday,Afternoon
Database Backup,planning,high,51,Friday,Morning
Client Call,planning,medium,135,Friday,Afternoon
Client Call,testing,high,109,Saturday,Afternoon
Sprint Planning,meeting,low,81,Thursday,Morning
Unit Testing,review,medium,114,Sunday,Afternoon
Team Meeting,writing,high,58,Sunday,Morning
Product Demo,testing,high,159,Wednesday,Afternoon
Client Call,review,high,104,Tuesday,Evening
Unit Testing,testing,high,100,Saturday,Afternoon
Sprint Planning,writing,high,179,Wednesday,Afternoon
Documentation,planning,high,167,Wednesday,Evening
Bug Fixing,review,medium,24,Tuesday,Evening
Documentation,writing,medium,35,Tuesday,Morning
Team Meeting,meeting,high,65,Friday,Afternoon
Unit Testing,planning,low,116,Wednesday,Afternoon
Database Backup,meeting,low,177,Tuesday,Afternoon
Bug Fixing,writing,medium,125,Sunday,Morning
Unit Testing,coding,low,166,Sunday,Evening
Team Meeting,coding,medium,178,Wednesday,Morning
Code Review,testing,low,48,Thursday,Morning
Code Review,meeting,medium,75,Sunday,Evening
Daily Standup,writing,high,150,Thursday,Morning
Database Backup,meeting,low,101,Tuesday,Morning
Sprint Planning,coding,low,161,Friday,Afternoon
Daily Standup,writing,high,93,Saturday,Morning
Team Meeting,planning,medium,82,Saturday,Morning
Code Review,writing,low,176,Saturday,Evening
Design Mockup,meeting,low,32,Saturday,Evening
Unit Testing,writing,high,107,Thursday,Morning
Design Mockup,writing,low,95,Saturday,Afternoon
Team Meeting,writing,medium,115,Tuesday,Morning
Design Mockup,testing,medium,142,Wednesday,Morning
Bug Fixing,writing,high,33,Thursday,Morning
Database Backup,review,medium,83,Saturday,Evening
Design Mockup,coding,high,74,Friday,Evening
Documentation,testing,low,61,Friday,Morning
Team Meeting,writing,medium,116,Monday,Evening
Unit Testing,writing,medium,153,Wednesday,Evening
Code Review,testing,high,157,Wednesday,Morning
UI Testing,planning,high,111,Tuesday,Morning
Sprint Planning,writing,low,144,Saturday,Evening
Sprint Planning,writing,low,31,Thursday,Evening
UI Testing,writing,low,117,Sunday,Morning
Unit Testing,review,medium,158,Friday,Morning
Daily Standup,review,low,104,Saturday,Afternoon
Product Demo,review,medium,120,Friday,Morning
Product Demo,coding,medium,130,Friday,Afternoon
UI Testing,planning,high,134,Tuesday,Morning
Sprint Planning,testing,low,74,Sunday,Morning
Database Backup,testing,medium,139,Sunday,Afternoon
Team Meeting,coding,low,79,Monday,Evening
Unit Testing,review,high,94,Saturday,Afternoon
Team Meeting,writing,high,42,Monday,Evening
Daily Standup,writing,medium,131,Sunday,Evening
UI Testing,writing,high,104,Wednesday,Afternoon
Client Call,planning,low,168,Sunday,Evening
UI Testing,testing,high,164,Tuesday,Morning
Design Mockup,meeting,medium,76,Thursday,Afternoon
Bug Fixing,testing,medium,150,Wednesday,Evening
Product Demo,meeting,medium,121,Wednesday,Evening
Team Meeting,meeting,medium,99,Wednesday,Morning
Sprint Planning,testing,medium,112,Thursday,Afternoon
Bug Fixing,review,medium,51,Saturday,Afternoon
Code Review,testing,high,54,Saturday,Morning
Client Call,review,high,148,Wednesday,Evening
Daily Standup,meeting,high,100,Monday,Morning
Sprint Planning,review,low,69,Saturday,Morning
Code Review,planning,low,110,Wednesday,Morning
Daily Standup,review,medium,130,Thursday,Afternoon
Unit Testing,writing,high,126,Monday,Afternoon
Bug Fixing,testing,high,125,Sunday,Afternoon
Design Mockup,planning,low,97,Monday,Afternoon
Bug Fixing,writing,low,106,Tuesday,Afternoon
Bug Fixing,testing,low,112,Thursday,Evening
Bug Fixing,planning,medium,95,Monday,Evening
Sprint Planning,planning,medium,131,Wednesday,Afternoon
Sprint Planning,planning,high,157,Saturday,Afternoon
Team Meeting,writing,low,70,Saturday,Afternoon
UI Testing,coding,medium,98,Monday,Morning
Unit Testing,coding,medium,98,Saturday,Evening
Bug Fixing,planning,medium,146,Thursday,Morning
Design Mockup,planning,medium,47,Monday,Afternoon
UI Testing,testing,low,104,Friday,Morning
Database Backup,review,low,130,Saturday,Evening
Design Mockup,review,high,64,Monday,Morning
Client Call,meeting,low,43,Thursday,Evening
Unit Testing,coding,low,124,Wednesday,Evening
Product Demo,testing,medium,166,Sunday,Afternoon
Design Mockup,meeting,low,129,Tuesday,Afternoon
Design Mockup,coding,low,178,Thursday,Afternoon
Design Mockup,writing,medium,21,Wednesday,Evening
Team Meeting,meeting,low,77,Tuesday,Morning
UI Testing,writing,low,155,Sunday,Morning
Bug Fixing,planning,high,53,Sunday,Evening
Bug Fixing,meeting,low,84,Tuesday,Afternoon
Documentation,coding,medium,168,Monday,Morning
Documentation,planning,high,75,Monday,Morning
Daily Standup,planning,high,172,Sunday,Afternoon
Team Meeting,writing,high,158,Thursday,Morning
Database Backup,coding,medium,151,Monday,Afternoon
Client Call,testing,medium,95,Friday,Morning
Daily Standup,meeting,low,160,Tuesday,Evening
Sprint Planning,coding,low,78,Friday,Morning
Client Call,coding,high,170,Thursday,Evening
Team Meeting,writing,medium,175,Sunday,Morning
Code Review,testing,low,49,Friday,Morning
Documentation,planning,high,23,Tuesday,Evening
Design Mockup,coding,low,55,Sunday,Morning
Documentation,testing,medium,60,Friday,Morning
Documentation,meeting,low,96,Tuesday,Afternoon
Database Backup,planning,medium,169,Wednesday,Evening
Team Meeting,planning,low,34,Friday,Afternoon
Daily Standup,writing,medium,147,Saturday,Afternoon
Bug Fixing,coding,low,49,Saturday,Morning
UI Testing,meeting,high,86,Wednesday,Evening
Design Mockup,writing,low,41,Thursday,Morning
Design Mockup,testing,high,76,Wednesday,Afternoon
Unit Testing,testing,high,91,Saturday,Evening
Unit Testing,testing,medium,113,Thursday,Evening
Code Review,review,low,73,Tuesday,Morning
Team Meeting,writing,medium,76,Thursday,Evening
Bug Fixing,writing,low,119,Tuesday,Evening
Daily Standup,testing,high,42,Monday,Morning
Sprint Planning,writing,low,149,Monday,Afternoon
Database Backup,review,low,117,Sunday,Evening
Daily Standup,coding,high,107,Wednesday,Afternoon
Bug Fixing,planning,high,127,Tuesday,Afternoon
Product Demo,writing,low,36,Monday,Afternoon
Daily Standup,planning,low,103,Friday,Afternoon
Code Review,planning,low,147,Tuesday,Afternoon
Daily Standup,testing,high,39,Friday,Afternoon
Team Meeting,writing,high,160,Sunday,Evening
Product Demo,meeting,high,82,Thursday,Morning
Unit Testing,coding,medium,122,Wednesday,Evening
Sprint Planning,planning,medium,42,Saturday,Evening
Product Demo,planning,medium,137,Sunday,Evening
Team Meeting,writing,medium,93,Thursday,Afternoon
Design Mockup,meeting,high,140,Saturday,Morning
Product Demo,coding,high,67,Sunday,Evening
Client Call,writing,low,98,Thursday,Evening
Team Meeting,coding,high,128,Thursday,Morning
Product Demo,review,low,50,Saturday,Evening
Team Meeting,review,medium,25,Sunday,Evening
Client Call,meeting,low,81,Saturday,Morning
Code Review,writing,medium,58,Tuesday,Afternoon
Product Demo,review,medium,145,Sunday,Afternoon
Bug Fixing,writing,high,145,Saturday,Evening
Daily Standup,testing,high,172,Saturday,Morning
Product Demo,writing,high,33,Saturday,Afternoon
Code Review,planning,low,48,Wednesday,Evening
Database Backup,testing,high,131,Thursday,Evening
Bug Fixing,meeting,high,58,Thursday,Morning
Team Meeting,review,high,91,Tuesday,Evening
Client Call,planning,medium,124,Sunday,Morning
Design Mockup,planning,low,49,Thursday,Afternoon
Daily Standup,planning,medium,25,Sunday,Evening
Bug Fixing,coding,medium,99,Friday,Evening
Client Call,testing,high,86,Monday,Morning
Documentation,writing,high,161,Tuesday,Morning
Daily Standup,meeting,medium,56,Tuesday,Afternoon
Code Review,testing,low,25,Friday,Afternoon
Client Call,planning,medium,53,Friday,Morning
Sprint Planning,testing,high,134,Saturday,Morning
Product Demo,review,low,35,Tuesday,Afternoon
Code Review,meeting,medium,95,Saturday,Evening
Code Review,writing,low,109,Tuesday,Afternoon
Code Review,testing,high,144,Saturday,Evening
Code Review,writing,low,111,Monday,Evening
Unit Testing,meeting,high,27,Monday,Afternoon
Bug Fixing,coding,high,74,Wednesday,Afternoon
UI Testing,meeting,low,178,Sunday,Afternoon
Daily Standup,meeting,medium,135,Thursday,Evening
Code Review,review,high,156,Friday,Morning
Database Backup,testing,medium,68,Tuesday,Afternoon
Team Meeting,testing,medium,105,Tuesday,Morning
Daily Standup,writing,medium,152,Tuesday,Morning
Team Meeting,coding,medium,47,Tuesday,Afternoon
Code Review,meeting,high,174,Tuesday,Afternoon
Daily Standup,testing,low,121,Wednesday,Afternoon
Design Mockup,review,medium,134,Sunday,Evening
Bug Fixing,coding,medium,35,Thursday,Afternoon
Client Call,testing,low,147,Friday,Afternoon
Product Demo,writing,medium,24,Sunday,Morning
Documentation,writing,low,68,Monday,Morning
Daily Standup,meeting,low,26,Saturday,Morning
UI Testing,review,medium,173,Friday,Afternoon
Team Meeting,review,high,88,Thursday,Evening
Database Backup,planning,medium,107,Saturday,Evening
Product Demo,meeting,low,129,Tuesday,Morning
UI Testing,testing,low,124,Thursday,Evening
Unit Testing,meeting,medium,38,Thursday,Afternoon
Product Demo,planning,low,119,Saturday,Afternoon
Design Mockup,planning,medium,127,Sunday,Afternoon
Team Meeting,meeting,low,77,Wednesday,Morning
Daily Standup,meeting,low,68,Tuesday,Afternoon
Bug Fixing,coding,medium,45,Wednesday,Afternoon
Code Review,planning,high,60,Wednesday,Morning
Team Meeting,testing,high,104,Sunday,Morning
Unit Testing,planning,medium,20,Friday,Afternoon
Design Mockup,meeting,low,153,Saturday,Morning
Unit Testing,coding,medium,92,Saturday,Afternoon
Unit Testing,planning,medium,91,Saturday,Afternoon
Product Demo,writing,medium,24,Friday,Morning
Database Backup,planning,low,176,Saturday,Morning
Team Meeting,planning,high,113,Monday,Afternoon
Unit Testing,review,high,113,Monday,Afternoon
Database Backup,writing,medium,143,Monday,Evening
Unit Testing,writing,medium,141,Tuesday,Evening
Bug Fixing,coding,low,131,Thursday,Evening
Unit Testing,review,low,159,Wednesday,Afternoon
Documentation,meeting,low,43,Wednesday,Afternoon
Client Call,coding,low,131,Thursday,Evening
UI Testing,meeting,low,106,Friday,Evening
Documentation,review,high,138,Friday,Evening
Design Mockup,testing,medium,102,Friday,Morning
Product Demo,writing,low,171,Tuesday,Morning
Documentation,coding,medium,89,Wednesday,Afternoon
Documentation,review,low,85,Tuesday,Morning
Unit Testing,coding,low,179,Thursday,Afternoon
UI Testing,coding,medium,99,Thursday,Evening
UI Testing,planning,high,149,Wednesday,Afternoon
Code Review,meeting,low,142,Friday,Morning
Documentation,meeting,medium,91,Tuesday,Morning
Database Backup,writing,low,43,Friday,Afternoon
Team Meeting,testing,medium,137,Saturday,Evening
Documentation,meeting,low,120,Sunday,Evening
UI Testing,planning,medium,121,Tuesday,Afternoon
Database Backup,writing,high,30,Friday,Morning
Daily Standup,planning,high,91,Sunday,Morning
Code Review,coding,low,94,Saturday,Afternoon
Database Backup,review,low,39,Wednesday,Morning
Unit Testing,planning,low,154,Monday,Morning
Client Call,planning,medium,46,Wednesday,Evening
UI Testing,coding,high,130,Friday,Morning
Code Review,coding,high,104,Saturday,Evening
Product Demo,writing,medium,35,Tuesday,Afternoon
Bug Fixing,review,low,160,Thursday,Evening
UI Testing,meeting,high,150,Friday,Afternoon
Client Call,coding,low,120,Saturday,Afternoon
Team Meeting,meeting,low,60,Wednesday,Morning
UI Testing,planning,medium,155,Saturday,Morning
Design Mockup,testing,high,29,Wednesday,Morning
Daily Standup,coding,high,56,Monday,Evening
Product Demo,meeting,medium,79,Monday,Afternoon
Daily Standup,testing,low,135,Sunday,Morning
Database Backup,review,low,109,Thursday,Morning
Client Call,meeting,low,132,Saturday,Evening
Design Mockup,testing,medium,148,Sunday,Evening
Product Demo,review,high,51,Thursday,Evening
Client Call,testing,high,152,Sunday,Evening
Code Review,testing,low,20,Saturday,Evening
UI Testing,writing,high,123,Saturday,Evening
Bug Fixing,planning,high,131,Friday,Afternoon
Database Backup,writing,low,104,Monday,Evening
Design Mockup,meeting,medium,177,Tuesday,Evening
Unit Testing,review,medium,66,Saturday,Afternoon
Client Call,writing,high,87,Sunday,Evening
Code Review,testing,high,37,Sunday,Morning
Product Demo,meeting,low,39,Wednesday,Morning
Design Mockup,meeting,high,166,Wednesday,Evening
Database Backup,writing,high,108,Thursday,Morning
Bug Fixing,review,medium,139,Sunday,Evening
Code Review,planning,low,133,Saturday,Evening
Documentation,planning,medium,74,Wednesday,Afternoon
UI Testing,testing,low,95,Monday,Afternoon
Design Mockup,review,low,94,Thursday,Evening
Unit Testing,planning,low,100,Sunday,Evening
Client Call,coding,medium,21,Monday,Afternoon
Database Backup,planning,medium,158,Monday,Afternoon
Product Demo,planning,high,156,Saturday,Afternoon
Bug Fixing,writing,medium,96,Sunday,Morning
Unit Testing,planning,low,94,Sunday,Evening
Design Mockup,review,medium,109,Saturday,Evening
Sprint Planning,coding,low,113,Wednesday,Afternoon
Client Call,planning,high,169,Saturday,Morning
Product Demo,coding,high,154,Monday,Evening
Design Mockup,testing,low,139,Wednesday,Evening
Unit Testing,writing,low,76,Friday,Afternoon
Bug Fixing,testing,medium,93,Wednesday,Evening
Database Backup,planning,high,131,Monday,Morning
Design Mockup,review,high,41,Sunday,Evening
Bug Fixing,writing,low,48,Friday,Afternoon
Documentation,planning,low,71,Sunday,Morning
Bug Fixing,coding,low,67,Wednesday,Afternoon
Sprint Planning,review,medium,65,Monday,Afternoon
Bug Fixing,review,high,24,Friday,Morning
Client Call,planning,low,45,Saturday,Morning
Design Mockup,planning,medium,151,Friday,Afternoon
Team Meeting,coding,medium,104,Tuesday,Evening
Design Mockup,planning,medium,82,Sunday,Afternoon
Sprint Planning,testing,medium,21,Monday,Evening
Unit Testing,meeting,medium,124,Wednesday,Morning
UI Testing,coding,high,52,Sunday,Afternoon
Sprint Planning,testing,medium,97,Tuesday,Evening
Product Demo,meeting,low,28,Saturday,Afternoon
Database Backup,meeting,medium,142,Wednesday,Evening
UI Testing,review,medium,139,Wednesday,Afternoon
Product Demo,review,medium,38,Saturday,Morning
UI Testing,meeting,low,155,Saturday,Evening
Sprint Planning,meeting,low,122,Monday,Afternoon
Client Call,testing,high,21,Saturday,Morning
Team Meeting,coding,medium,94,Thursday,Afternoon
Design Mockup,coding,high,120,Wednesday,Morning
Daily Standup,writing,low,55,Thursday,Evening
Code Review,review,medium,59,Sunday,Afternoon
UI Testing,coding,high,29,Monday,Morning
Unit Testing,writing,low,59,Monday,Afternoon
Code Review,planning,high,135,Friday,Morning
Daily Standup,coding,medium,76,Wednesday,Morning
Database Backup,review,low,36,Saturday,Afternoon
Code Review,coding,low,103,Tuesday,Afternoon
Team Meeting,meeting,high,104,Sunday,Afternoon
Product Demo,meeting,medium,60,Friday,Evening
Database Backup,writing,high,28,Tuesday,Morning
Bug Fixing,coding,medium,33,Wednesday,Morning
Daily Standup,writing,medium,60,Saturday,Evening
Sprint Planning,testing,low,33,Tuesday,Afternoon
Database Backup,writing,high,118,Tuesday,Afternoon
Bug Fixing,review,low,157,Thursday,Morning
Sprint Planning,testing,low,152,Sunday,Afternoon
Design Mockup,planning,high,46,Monday,Afternoon
Client Call,meeting,low,83,Tuesday,Morning
Unit Testing,review,high,26,Wednesday,Afternoon
Documentation,coding,medium,147,Friday,Morning
Unit Testing,writing,medium,58,Thursday,Evening
UI Testing,planning,low,106,Wednesday,Morning
Daily Standup,meeting,medium,126,Thursday,Afternoon
Bug Fixing,writing,medium,144,Monday,Evening
Documentation,meeting,high,28,Friday,Morning
Team Meeting,coding,medium,21,Monday,Afternoon
Design Mockup,review,high,140,Tuesday,Afternoon
